代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
519212,万家宏观择时多策略灵活配置混合A,积极配置 - 大盘平衡,5,4,2024-07-04,2.5697,-0.0365,10.75
004685,金元顺安元启灵活配置混合,灵活配置,5,5,2024-07-04,3.9589,-0.0696,-10.26
519191,万家新利灵活配置混合,积极配置 - 大盘平衡,5,4,2024-07-04,2.0499,-0.0276,10.85
519185,万家精选混合A,积极配置 - 大盘平衡,5,3,2024-07-04,1.8186,-0.0244,11.59
004475,华泰柏瑞富利灵活配置混合A,积极配置 - 大盘平衡,5,5,2024-07-04,2.0506,-0.0088,8.72
003175,华泰柏瑞多策略灵活配置混合A,积极配置 - 大盘平衡,5,4,2024-07-04,1.8283,-0.0077,8.71
009098,景顺长城价值领航两年持有期混合,沪港深积极配置,5,0,2024-07-04,1.9649,0.0023,18.58
000043,嘉实美国成长股票（QDII）人民币,QDII美国股票,5,3,2024-07-03,4.6300,0.0430,24.53
001323,东吴移动互联灵活配置混合A,灵活配置,5,5,2024-07-04,2.9149,0.0030,20.58
002170,东吴移动互联灵活配置混合C,灵活配置,5,5,2024-07-04,2.8917,0.0030,20.46
008060,景顺长城价值边际灵活配置混合A,沪港深灵活配置,5,0,2024-07-04,1.6347,0.0034,19.87
210002,金鹰红利价值混合A,行业混合 - 科技、传媒及通讯,5,5,2024-07-04,1.6118,-0.0230,-11.89
000979,景顺长城沪港深精选股票A,沪港深股票,5,5,2024-07-04,2.2760,0.0070,19.04
010826,大成产业趋势混合A,沪港深积极配置,5,0,2024-07-04,1.4299,-0.0012,13.48
005161,华商上游产业股票A,中盘成长股票,5,5,2024-07-04,2.4261,-0.0018,14.75
260112,景顺长城能源基建混合A,标准混合,5,5,2024-07-04,2.4490,0.0030,13.38
512890,华泰柏瑞中证红利低波动ETF,大盘价值股票,5,5,2024-07-04,1.0646,-0.0040,16.44
590003,中邮核心优势灵活配置混合 A,积极配置 - 大盘平衡,5,4,2024-07-04,2.5050,-0.0120,10.06
005561,创金合信中证红利低波动指数A,大盘价值股票,5,5,2024-07-04,1.9578,-0.0068,15.02
010827,大成产业趋势混合C,沪港深积极配置,5,0,2024-07-04,1.3918,-0.0012,13.02
005562,创金合信中证红利低波动指数C,大盘价值股票,5,5,2024-07-04,1.9344,-0.0067,14.91
515450,南方标普中国A股大盘红利低波50ETF,大盘价值股票,5,0,2024-07-04,1.3697,-0.0042,15.99
007466,华泰柏瑞中证红利低波ETF联接A,大盘价值股票,5,0,2024-07-04,1.6574,-0.0058,15.43
007467,华泰柏瑞中证红利低波动ETF联接C,大盘价值股票,5,0,2024-07-04,1.6325,-0.0058,15.28
007751,景顺长城中证沪港深红利成长低波动指数A,沪港深股票,5,0,2024-07-04,1.1765,-0.0063,13.70
代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
515300,嘉实沪深300红利低波动ETF,大盘价值股票,5,0,2024-07-04,1.3906,-0.0006,15.12
008163,南方标普中国A股大盘红利低波50ETF联接A,大盘价值股票,5,0,2024-07-04,1.2633,-0.0037,15.36
000044,嘉实美国成长股票（QDII）美元现汇,QDII美国股票,5,3,2024-07-03,$3.9620,0.0360,23.70
007760,景顺长城中证沪港深红利成长低波动指数C,沪港深股票,5,0,2024-07-04,1.1724,-0.0064,13.55
001678,英大国企改革主题股票,大盘平衡股票,5,5,2024-07-04,1.5073,-0.0086,-2.57
008164,南方标普中国A股大盘红利低波50ETF联接C,大盘价值股票,5,0,2024-07-04,1.2364,-0.0036,15.13
501029,华宝标普中国A股红利机会指数（LOF）A,大盘价值股票,5,4,2024-07-04,1.5741,-0.0113,7.66
519183,万家双引擎灵活配置混合A,灵活配置,5,4,2024-07-04,2.2731,0.0169,24.52
010761,华商甄选回报混合A,沪港深积极配置,5,0,2024-07-04,1.3286,-0.0036,5.39
007605,嘉实沪深300红利低波动ETF联接A,大盘价值股票,5,0,2024-07-04,1.3690,-0.0006,14.19
539003,建信富时100指数（QDII）人民币A,QDII环球股票,5,0,2024-07-03,1.1259,0.0084,7.01
008114,天弘中证红利低波动100ETF联接A,大盘价值股票,5,0,2024-07-04,1.5353,-0.0125,4.39
002258,大成国企改革灵活配置混合A,积极配置 - 大盘成长,5,5,2024-07-04,3.2540,-0.0160,13.10
011251,华安聚嘉精选混合A,沪港深积极配置,5,0,2024-07-04,1.4015,-0.0073,13.30
005125,华宝标普中国A股红利机会指数C,大盘价值股票,5,4,2024-07-04,1.5312,-0.0110,7.45
008115,天弘中证红利低波动100ETF联接C,大盘价值股票,5,0,2024-07-04,1.5211,-0.0124,4.28
378546,摩根全球天然资源混合（QDII）A,QDII 环球股债混合,5,3,2024-07-03,1.0536,0.0180,3.59
166301,华商新趋势优选灵活配置混合,灵活配置,5,5,2024-07-04,8.9460,-0.0870,0.49
007606,嘉实沪深300红利低波动ETF联接C,大盘价值股票,5,0,2024-07-04,1.3535,-0.0006,13.96
008706,建信富时100指数（QDII）人民币 C,QDII环球股票,5,0,2024-07-03,1.1115,0.0083,6.82
002877,华夏大中华信用精选债券（QDII）A 人民币,QDII环球债券,5,5,2024-07-03,1.0677,0.0012,8.85
001302,前海开源金银珠宝主题精选混合A,积极配置 - 中小盘,5,3,2024-07-04,1.5410,-0.0030,16.04
